rank,year,chart,artist,featured_artist,title,track_title,line,lyric
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,1,"Baby, last night was hands down"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,2,"One of the best nights that I've had, no doubt"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,3,Between the bottle of wine and the look in your eyes and the Marvin Gaye
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,4,Then we danced in the dark under September stars in the pourin' rain
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,5,And I know that I can't ever tell you enough
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,6,That all I need in this life is your crazy love
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,7,If I never get to see the Northern lights
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,8,Or if I never get to see the Eiffel Tower at night
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,9,"Oh, if all I got is your hand in my hand"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,10,"Baby, I could die a happy man"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,11,"A happy man, baby, mmm"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,12,"Baby, that red dress brings me to my knees"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,13,"Oh, but that black dress makes it hard to breathe"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,14,"You're a saint, you're a goddess, the cutest, the hottest, a masterpiece"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,15,"It's too good to be true, nothing better than you in my wildest dreams"
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,16,And I know that I can't ever tell you enough
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,Die a Happy Man,17,That all I need in this life is your crazy love
